method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
UDE-Residual,Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.014103568741956542,1.1989592400059337,1.1825850970000005,1.1986510009765625,68.81005859375,14.404235884998343,15.603195125004277,0.7359905242919922,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=1.,open_loop,0.17217002953925525,0.0023908881475350418,0.005966035907117764,0.0052103490830420224,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-CoeffClosure,Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,0.00823654925586737,1.273896856000647,1.2180414939999995,1.273500244140625,68.42822265625,17.46727705100784,18.741173907008488,0.6804680228233337,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=1.,open_loop,0.10183487810949435,0.001431667191798338,0.003713680246136373,0.0027846119617948337,nan,nan,nan,0.003241421824787423,0.0007176452749564838,0.0005967754729295024,u_cmd,direct
UDE-HiddenControl,Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.01473606076477536,1.1568950649962062,1.120928974,1.15658447265625,68.04541015625,20.910815612995066,22.067710677991272,0.597457230091095,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,0.30029231094760683,0.0019494401606971045,0.007384519126734935,0.0036681559100163346,nan,nan,nan,nan,nan,nan,u_cmd,direct
NN-CoeffSurrogate,Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,0.00566541826051198,1.2954454690043349,1.276074307,1.2951163330078126,68.42822265625,16.862354324999615,18.15779979400395,0.0029566558077931404,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,0.051662048029747894,0.0004964866365046863,0.0025236828674026876,0.0036539982957229473,nan,nan,nan,0.0003717731170140533,4.654958541505987e-05,5.248219054754899e-05,u_cmd,direct
PINN-HiddenElevator,PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.015434830883327031,1.2440780820033979,1.2176339719999998,1.24306298828125,67.66357421875,23.465325582001242,24.70940366400464,0.1956614851951599,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,0.3103155974538262,0.001986843520844271,0.008303429043358289,0.00374867888842656,nan,nan,nan,nan,nan,nan,u_cmd,direct
Linear-SS (mocap),Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.08757968117376708,0.08088687299459707,nan,nan,nan,1.1522996020066785,1.2331864750012755,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,2.109103033277438,0.010065911086852451,0.048759017932957685,0.01609126947302724,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Frequency-Welch (mocap),Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,8800.146265504172,1.2604175680025946,nan,nan,nan,0.597025331997429,1.8574429000000237,nan,28,26474,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,12.911709392761743,496.0293313922317,3491.757512934934,8399.717149836802,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Koopman-EDMD (mocap),Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.9289654584793794,0.31649222600390203,nan,nan,nan,4.478971108008409,4.795463334012311,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,40.181850083248136,0.04397139051565909,0.12879557755958174,0.1857155218796918,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Model-Stitching (mocap),Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.2551758121727417,0.13443130400264636,nan,nan,nan,4.838357621003524,4.972788925006171,0.0006981197239257697,197,256000,"Fits 6 local discrete linear models after clustering training trials by initial state; rollout blends local predictions with RBF weights in state space, length_scale=0.189. Validation uses only x0 and the supplied pilot-command history.",open_loop,6.631355358535131,0.03182268320500116,0.12556985949690885,0.03932900779753865,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EquationError-LS (mocap),"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,1.1769988540788967,0.014811540997470729,nan,nan,nan,5.457869035002659,5.47268057600013,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,27.36487446239212,0.20993420090421433,0.4629943321807766,0.14746375684939797,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Nominal (mocap),"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.15527067229575636,0.0,nan,nan,nan,6.306912956002634,6.306912956002634,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,2.1899426222106895,0.030720883899300524,0.083902189394113,0.028406014900164454,nan,nan,nan,0.007292265977833135,0.0013143193560725603,0.0014059925957970064,u_cmd,mocap
Subspace-Hankel (mocap),Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,0.08677266681948402,5.885987040004693,nan,nan,nan,1.1924609259876888,7.078447965992382,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,1.7336100976899842,0.012847043092614134,0.04263499611315049,0.019130347120498162,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EKF-ParamID (mocap),Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.16317588038381922,1.1776953659864375,nan,nan,nan,7.69425410599797,8.871949471984408,0.0011848578822830345,156,3200,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,2.435996625649787,0.028854231876061946,0.09484231269935084,0.032358335861939716,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Symbolic-Stepwise (mocap),Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,14.69725789819503,1.1260081129876198,nan,nan,nan,13.07192134700017,14.19792945998779,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,468.2623073852601,0.42416294684887723,0.6749061764072609,8.0765472432962,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Variational-Mocap (mocap),"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,0.4860551070071673,6.2171224119956605,nan,nan,nan,5.773859563007136,11.990981975002796,nan,1220,202,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,5.46584528932288,0.04575847159977715,0.6281340823017787,0.04131346335113356,18.824663746168525,238.87739398838036,0.6422785959051733,nan,nan,nan,u_cmd,mocap
UDE-Residual (mocap),Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.13673747773361522,1.574354570999276,1.556577045,1.5739798583984375,68.81005859375,17.32376780100458,18.898122372003854,0.2286960482597351,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=0.1.,open_loop,2.0020175733298964,0.026792567673789864,0.07186828233320976,0.02532862348853865,nan,nan,nan,nan,nan,nan,u_cmd,mocap
PINN-CoeffClosure (mocap),Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,0.15117068259438882,1.6526549239933956,1.6226545570000006,1.6522537841796876,68.42822265625,15.361627983002109,17.014282906995504,0.22641411423683167,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=0.1.,open_loop,2.186085529107022,0.029277760043442874,0.08192501723872801,0.02807024047771403,nan,nan,nan,0.006871184406112826,0.008315761845549764,0.0013205734686665112,u_cmd,mocap
GP-CoeffClosure (mocap),Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,0.3010231060451409,1.7103684629983036,nan,nan,nan,20.52078252399224,22.231150986990542,0.3159607621473357,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.02, residual gain=0.1.",open_loop,4.204629651796682,0.05017187188988124,0.21909551140838812,0.048337159330771554,nan,nan,nan,0.006133604882174361,0.07935228130696625,0.0012408382702967205,u_cmd,mocap
SINDy (mocap),One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,15.924015630279971,0.17477263099863194,nan,nan,nan,36.27867734699976,36.45344997799839,0.007005545404297352,21,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,763.7992605846134,0.309381952263743,0.2889659210904944,3.9008231919313667,nan,nan,nan,nan,nan,nan,u_cmd,mocap
UDE-HiddenControl (mocap),Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.19686149470637357,1.5551786099968012,1.5348984630000002,1.5543875732421875,68.04541015625,16.678125339996768,18.23330394999357,0.5514231324195862,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,3.3408996376883757,0.030764500384663603,0.11632018265979902,0.040258136136917345,nan,nan,nan,nan,nan,nan,u_cmd,mocap
PINN-HiddenElevator (mocap),PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.1998507095317648,1.5415122239937773,1.5224231879999994,1.541161865234375,67.66357421875,17.228178297009435,18.769690521003213,0.133701890707016,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,3.42580286772775,0.030813791093086858,0.11795754139485909,0.041343878136657825,nan,nan,nan,nan,nan,nan,u_cmd,mocap
OEM-SS (mocap),Single-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.22996733492890142,28.192676189995836,nan,nan,nan,5.834821659009322,34.02749784900516,nan,16,802,CasADi/IPOPT backend fitted on 2 trajectory samples with stride 10; nonlinear residuals are unmodeled.,open_loop,2.4877312613489546,0.03929850542508335,0.17530148666823084,0.045233623764455284,nan,nan,nan,nan,nan,nan,u_cmd,mocap
OEM-MocapOutput (mocap),Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,0.16970174516684366,31.859709811003995,nan,nan,nan,4.888057536998531,36.747767348002526,nan,16,802,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,2.5060939408538885,0.031027210946070395,0.09824889701921867,0.03170127652860848,10.441090290245088,9.265945976823053,0.09564988991202734,nan,nan,nan,u_cmd,mocap
NN-CoeffSurrogate (mocap),Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,0.1906845927306665,1.360904565997771,1.339950171,1.36052734375,68.42822265625,16.078230580998934,17.439135146996705,0.002028345363214612,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,3.243643509578477,0.028854119179811524,0.11532106624955332,0.03984278672520018,nan,nan,nan,0.007231849860366577,0.0013096644675110515,0.0014219101454100009,u_cmd,mocap
