method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
GP-CoeffClosure,Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,6.060531335165804,1.5621252129931236,nan,nan,nan,20.544511127998703,22.106636340991827,0.6530091508742819,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.13, residual gain=1.",open_loop,5.651456367131927,0.019738413945807876,0.21243309493258097,1.657707230573216,nan,nan,nan,0.0102067856206535,0.014887544942876944,0.002557219136229259,u_cmd,direct
SINDy,One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,0.3558888411751031,0.06378011299239006,nan,nan,nan,34.3053928270092,34.36917294000159,0.00019525144410694565,22,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,0.9243477931153171,0.008203060984150506,0.07178129399642301,0.02051791788032261,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-SS,Single-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.3201852668091469,28.005891223001527,nan,nan,nan,7.6977131930034375,35.703604416004964,nan,16,802,CasADi/IPOPT backend fitted on 2 trajectory samples with stride 10; nonlinear residuals are unmodeled.,open_loop,0.7795620295733737,0.019527726085459315,0.04607191647611489,0.011717347656082244,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-MocapOutput,Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,0.9847635398893864,31.020841931996983,nan,nan,nan,5.849356014005025,36.87019794600201,nan,16,802,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,3.570055693573385,0.03706914190990826,0.1258172514521628,0.04533692796529486,25.761219791422825,12.993813885980146,0.12510901945529257,nan,nan,nan,u_cmd,direct
OEM-HiddenController,Single-shooting OEM with an inferred smooth stall/recovery controller between pilot command and plant input.,implemented,CasADi/IPOPT,0.8573174418004104,85.46549202299502,nan,nan,nan,11.092203819003771,96.5576958419988,5955548.433021639,28,802,"CasADi/IPOPT fitted aerodynamic and controller parameters using u_cmd; controller parameters describe throttle-to-pitch scheduling, elevator-to-pitch mapping, SAFE pitch gain, AS3X q damping, stall/recovery gates, panic pitch target, panic pitch gain, and SAFE/direct blending.",open_loop,3.0917044173352823,0.058068768319532435,0.08317550363553294,0.012445982520218092,nan,nan,nan,nan,nan,nan,u_cmd,direct
UDE-Residual,Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.05965491590975068,0.9292630399868358,0.9318106430000004,0.9290040283203125,68.81005859375,9.314109856000869,10.243372895987704,0.7186852693557739,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=1.,open_loop,0.11113982117579718,0.0020272610004241362,0.004499267364201651,0.00925155544131174,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-CoeffClosure,Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,0.053964394750578695,0.9273754139867378,0.9288202920000002,0.9271126708984375,68.42822265625,9.732266122009605,10.659641535996343,0.6543535590171814,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=1.,open_loop,0.11183018415943465,0.002572025021255489,0.004882823533452992,0.006044773921149734,nan,nan,nan,0.006121224351240205,0.0015541197848624093,0.0025967143491083615,u_cmd,direct
UDE-HiddenControl,Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.07839528599919811,0.9132876869989559,0.912279479,0.9130485229492188,68.04541015625,11.14801465900382,12.061302346002776,0.5140137076377869,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,0.2792307926929022,0.0018280104425240763,0.007609515159894876,0.007527264433784412,nan,nan,nan,nan,nan,nan,u_cmd,direct
PINN-HiddenElevator,PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.0841760385344879,0.9256519640039187,0.9267240519999995,0.9253973388671874,67.66357421875,11.360576817998663,12.286228782002581,0.029486244544386864,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,0.3225224611876215,0.002246169570072258,0.007270670872403622,0.007373933149077127,nan,nan,nan,nan,nan,nan,u_cmd,direct
NN-CoeffSurrogate,Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,0.3890966049992009,0.9076643409935059,0.909746476,0.9074046020507812,68.42822265625,9.157302856998285,10.064967197991791,0.011200266890227795,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,1.3361070849480516,0.011059475278145168,0.047716883776609334,0.028542013939557985,nan,nan,nan,0.0013729778348441845,0.00016997060351993298,0.0002008074928884852,u_cmd,direct
Linear-SS (mocap),Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.169840551682066,0.07320221100235358,nan,nan,nan,1.0693650059984066,1.1425672170007601,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,0.9206865000047717,0.004465050310142106,0.014754352718905982,0.004954091145227378,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Model-Stitching (mocap),Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.4705754353339197,0.07688465600949712,nan,nan,nan,3.4096053069952177,3.486489963004715,0.000660981220834109,197,256000,"Fits 6 local discrete linear models after clustering training trials by initial state; rollout blends local predictions with RBF weights in state space, length_scale=0.215. Validation uses only x0 and the supplied pilot-command history.",open_loop,3.4049721395617247,0.007062498211945469,0.018032582218350617,0.007958989705574054,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Frequency-Welch (mocap),Coherence-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,28442.724088807983,1.2948527749977075,nan,nan,nan,0.5559930599993095,1.850845834997017,nan,28,26960,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and coherence threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,5560.048696155313,422.4736405943563,2697.6547059773866,6750.565146146208,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Nominal (mocap),"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.7370907938678402,0.0,nan,nan,nan,7.526290025998605,7.526290025998605,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,2.4079663762540577,0.032107658430256134,0.09250272519986416,0.03705175011329037,nan,nan,nan,0.0068631514282423475,0.0011502201346342414,0.001237888818366973,u_cmd,mocap
Koopman-EDMD (mocap),Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.4784982772370068,0.1848747220064979,nan,nan,nan,4.809558873006608,4.994433595013106,nan,120,256000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,3.29081151679608,0.008300516661755344,0.02139991414020815,0.010240923410855923,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Subspace-Hankel (mocap),Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,42117.43975467688,5.5835896719945595,nan,nan,nan,1.0317740399914328,6.615363711985992,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,12.308104517504685,3546.3998517700334,6047.757996026567,3584.1333855517014,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EquationError-LS (mocap),"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,7.016041618684328,0.01094611499866005,nan,nan,nan,6.899615340997116,6.910561455995776,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,24.955314759040245,0.40727803747837876,0.7194520078173665,0.20925645203603682,nan,nan,nan,nan,nan,nan,u_cmd,mocap
EKF-ParamID (mocap),Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.7115789365034326,0.9497740619990509,nan,nan,nan,5.697655789990677,6.6474298519897275,0.013151673199680813,156,3200,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,2.2320760875987156,0.026811665783614675,0.09927470631271172,0.03961573613365608,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Symbolic-Stepwise (mocap),Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,571.5701060005431,0.6108338859921787,nan,nan,nan,1.3413435249967733,1.952177410988952,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,4801.272021701043,1.2956667960454298,0.07351051421219304,13.697802585182716,nan,nan,nan,nan,nan,nan,u_cmd,mocap
SINDy (mocap),One-shot structured sparse aerodynamic coefficient model.,implemented,numpy,164.08013196879256,0.07981508900411427,nan,nan,nan,16.52833486199961,16.608149951003725,0.0068286165728683795,25,50000,"Fits protected low-order aircraft coefficient terms and sparse residual-library terms in one regression; protected terms are not thresholded, residual terms are selected by sequential thresholded least squares.",open_loop,1293.3531519567728,1.4377656638753376,0.4686298961774965,4.838279922059301,nan,nan,nan,nan,nan,nan,u_cmd,mocap
Variational-Mocap (mocap),"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,1.3175105389430835,7.8942714210134,nan,nan,nan,6.085419887996977,13.979691309010377,nan,1220,202,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,2.971555229835401,0.03721654436057858,0.336585000120937,0.02983651442849968,18.271705199663067,129.79383386053982,0.34526730826413055,nan,nan,nan,u_cmd,mocap
GP-CoeffClosure (mocap),Sparse RBF/Gaussian-process-style surrogate for aerodynamic coefficient residuals.,implemented,NumPy RBF/KRR,109.56070960799426,1.6705030509911012,nan,nan,nan,23.602837689002627,25.273340739993728,0.3084467082953929,3459,50000,"Finite-basis RBF approximation to a GP coefficient closure trained from EOM-inferred coefficient residuals; centers=384, length_scale=3.04, residual gain=0.1.",open_loop,28.210592394811567,0.2396156877493685,2.0638678610831276,34.17917744547336,nan,nan,nan,0.020126193354451608,0.11864261200396535,0.001177485171174961,u_cmd,mocap
OEM-SS (mocap),Single-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,0.706149749229057,27.803469348000363,nan,nan,nan,5.649361376999877,33.45283072500024,nan,16,802,CasADi/IPOPT backend fitted on 2 trajectory samples with stride 10; nonlinear residuals are unmodeled.,open_loop,2.136730781981491,0.030701953495534826,0.09628143108090778,0.03643723383516139,nan,nan,nan,nan,nan,nan,u_cmd,mocap
OEM-MocapOutput (mocap),Output-error fit with latent flight states and mocap position/attitude as the measured output.,implemented,CasADi/IPOPT,0.9847635398893864,33.50302625299082,nan,nan,nan,7.466676505006035,40.969702757996856,nan,16,802,CasADi/IPOPT backend; preferred mocap formulation because it avoids differentiating position/attitude into noisy state targets.,open_loop,3.570055693573385,0.03706914190990826,0.1258172514521628,0.04533692796529486,25.761219791422825,12.993813885980146,0.12510901945529257,nan,nan,nan,u_cmd,mocap
OEM-HiddenController (mocap),Single-shooting OEM with an inferred smooth stall/recovery controller between pilot command and plant input.,implemented,CasADi/IPOPT,0.37233336179020876,91.53082964400528,nan,nan,nan,11.003570001994376,102.53439964599966,292138.7309377234,28,802,"CasADi/IPOPT fitted aerodynamic and controller parameters using u_cmd; controller parameters describe throttle-to-pitch scheduling, elevator-to-pitch mapping, SAFE pitch gain, AS3X q damping, stall/recovery gates, panic pitch target, panic pitch gain, and SAFE/direct blending.",open_loop,1.4734728813929991,0.024788274815326188,0.029031677017543413,0.006395541097445417,nan,nan,nan,nan,nan,nan,u_cmd,mocap
UDE-Residual (mocap),Universal differential equation: nominal dynamics plus a learned state-derivative residual.,implemented,PyTorch/cuda,0.5173768733242853,1.1487072739982978,1.1514833480000002,1.148450439453125,68.81005859375,9.533008897997206,10.681716171995504,0.19479669630527496,4868,50000,Good for model-form error; residual dynamics are less directly interpretable as aerodynamic coefficients. Residual gain=0.1.,open_loop,1.4168376197896668,0.02165133339827804,0.0767407386148264,0.02929833916649572,nan,nan,nan,nan,nan,nan,u_cmd,mocap
PINN-CoeffClosure (mocap),Modified Non-Determinant PINN-style closure: EOM residual identifies learned nonlinear aerodynamic coefficients.,implemented,PyTorch/cuda,0.9136170627431341,1.1511213219928322,1.1523854679999994,1.1505350341796876,68.42822265625,9.626472860007198,10.77759418200003,0.20418348908424377,4803,50000,Flight-dynamics-level PINN surrogate; does not enforce CFD/Navier-Stokes physics. Residual gain=0.1.,open_loop,1.6378329740593751,0.025020507205416903,0.243827954251034,0.03031707412733129,nan,nan,nan,0.0063754493058022135,0.07812096941714755,0.0011779926389150596,u_cmd,mocap
UDE-HiddenControl (mocap),Universal-differential-equation style hidden-input model: nominal plant driven by pilot command plus learned input correction.,implemented,PyTorch/cuda,0.6523314643736117,0.9417282760114176,0.9430373160000003,0.94147216796875,68.04541015625,11.278327231993899,12.220055508005316,0.49372124671936035,4738,50000,Learns an effective throttle/elevator correction from EOM residuals; intended for hidden actuator/autopilot input mismatch.,open_loop,2.1662156617055395,0.029544319109024487,0.08472643983786217,0.027423194719094227,nan,nan,nan,nan,nan,nan,u_cmd,mocap
PINN-HiddenElevator (mocap),PINN-style hidden-controller model: EOM pitch residual identifies a learned elevator command reshaping law.,implemented,PyTorch/cuda,0.7129428073531009,0.8846757979918038,0.8849097000000001,0.8844382934570313,67.66357421875,11.283285484998487,12.16796128299029,0.01917104236781597,4673,50000,"Uses the pitch-moment equation as the physics residual, so it targets SAFE/AS3X elevator behavior rather than aerodynamic residuals.",open_loop,2.412194178442869,0.028175541596867564,0.09268633830776876,0.03565501703270929,nan,nan,nan,nan,nan,nan,u_cmd,mocap
NN-CoeffSurrogate (mocap),Supervised neural surrogate for hidden aerodynamic coefficient residuals.,implemented,PyTorch/cuda,0.8170649476280908,0.9431514460011385,0.9433406359999998,0.9428795166015626,68.42822265625,9.071309824008495,10.014461270009633,0.0059620970860123634,4803,50000,"Uses synthetic residual labels, so treat as an upper-bound surrogate rather than a flight-data-only identifier.",open_loop,2.899476995976599,0.031614700482284694,0.10301475128470432,0.0393695613956984,nan,nan,nan,0.002112064138539445,0.00023294716506980633,0.00030221040094476347,u_cmd,mocap
